Timestamp,GSR RAW,GSR Resistance CAL,GSR Conductance CAL
120.0105638,,,
120.01155495,,,
120.012516925,,,
120.0125589,17959.0,219.4705882352941,4.556419190565531
120.01447005,,,
120.0154612,,,
120.016423175,,,
120.0183763,,,
120.01936745,,,
120.020329425,,,
120.0203714,17959.0,219.4705882352941,4.556419190565531
120.02228255,,,
120.0232737,,,
120.024235675,,,
120.0261888,,,
120.02717995,,,
120.028,,,
120.028141925,,,
120.0281839,17959.0,219.4705882352941,4.556419190565531
120.03009505,,,
120.0310862,,,
120.032048175,,,
120.0340013,,,
120.03499245,,,
120.035954425,,,
120.0359964,17959.0,219.4705882352941,4.556419190565531
120.03790755,,,
120.0388987,,,
120.039860675,,,
120.0418138,,,
120.04280495,,,
120.043766925,,,
120.0438089,17959.0,219.4705882352941,4.556419190565531
120.04572005,,,
120.0467112,,,
120.047673175,,,
120.048,,,
120.0496263,,,
120.05061745,,,
120.051579425,,,
120.0516214,17960.0,219.2249580302183,4.5615244221516
120.05353255,,,
120.0545237,,,
120.055485675,,,
120.0574388,,,
120.05842995,,,
120.059391925,,,
120.0594339,17960.0,219.2249580302183,4.5615244221516
120.06134505,,,
120.0623362,,,
120.063298175,,,
120.0652513,,,
120.06624245,,,
120.067204425,,,
120.0672464,17959.0,219.4705882352941,4.556419190565531
120.068,,,
120.06915755,,,
120.0701487,,,
120.071110675,,,
120.0730638,,,
120.07405495,,,
120.075016925,,,
120.0750589,17958.0,219.71676948962423,4.551313958979464
120.07697005,,,
120.0779612,,,
120.078923175,,,
120.0808763,,,
120.08186745,,,
120.082829425,,,
120.0828714,17958.0,219.71676948962423,4.551313958979464
120.08478255,,,
120.0857737,,,
120.086735675,,,
120.088,,,
120.0886888,,,
120.08967995,,,
120.090641925,,,
120.0906839,17958.0,219.71676948962423,4.551313958979464
120.09259505,,,
120.0935862,,,
120.094548175,,,
120.0965013,,,
120.09749245,,,
120.098454425,,,
120.0984964,17960.0,219.2249580302183,4.5615244221516
120.10040755,,,
120.1013987,,,
120.102360675,,,
120.1043138,,,
120.10530495,,,
120.106266925,,,
120.1063089,17959.0,219.4705882352941,4.556419190565531
120.108,,,
120.10822005,,,
120.1092112,,,
120.110173175,,,
120.1121263,,,
120.11311745,,,
120.114079425,,,
120.1141214,17958.0,219.71676948962423,4.551313958979464
120.11603255,,,
120.1170237,,,
120.117985675,,,
120.1199388,,,
120.12092995,,,
120.121891925,,,
120.1219339,17958.0,219.71676948962423,4.551313958979464
120.12384505,,,
120.1248362,,,
120.125798175,,,
120.1277513,,,
120.128,,,
120.12874245,,,
120.129704425,,,
120.1297464,17959.0,219.4705882352941,4.556419190565531
120.13165755,,,
120.1326487,,,
120.133610675,,,
120.1355638,,,
120.13655495,,,
120.137516925,,,
120.1375589,17959.0,219.4705882352941,4.556419190565531
120.13947005,,,
120.1404612,,,
120.141423175,,,
120.1433763,,,
120.14436745,,,
120.145329425,,,
120.1453714,17959.0,219.4705882352941,4.556419190565531
120.14728255,,,
120.148,,,
120.1482737,,,
120.149235675,,,
120.1511888,,,
120.15217995,,,
120.153141925,,,
120.1531839,17959.0,219.4705882352941,4.556419190565531
120.15509505,,,
120.1560862,,,
120.157048175,,,
120.1590013,,,
120.15999245,,,
120.160954425,,,
