Timestamp,ECG LL-RA RAW,ECG LL-RA CAL,ECG LA-RA RAW,ECG LA-RA CAL,ECG Vx-RL RAW,ECG Vx-RL CAL
128.264,,,,,,
128.26437975,,,,,,
128.26442897500002,-14996.0,-1.0815359451217588,107181.0,7.730068293818032,-163456.0,-11.78871295317566
128.26638210000002,-15097.0,-1.0888202296281135,107386.0,7.74485322771707,-163486.0,-11.790876602038932
128.268286,,,,,,
128.26833522500002,-15686.0,-1.1312998689770544,107056.0,7.721053090221058,-163446.0,-11.787991736887903
128.2693734,,,,,,
128.27028835000002,-15634.0,-1.1275495442807133,107384.0,7.7447089844595185,-163279.0,-11.775947424882345
128.2703707,,,,,,
128.27219225,,,,,,
128.27224147500002,-15737.0,-1.1349780720446196,107687.0,7.766561837978583,-163369.0,-11.782438371472162
128.27419460000002,-16043.0,-1.1570472904500115,107813.0,7.775649163204333,-163450.0,-11.788280223403005
128.2760985,,,,,,
128.27614772500002,-15955.0,-1.150700587117742,107886.0,7.780914042104964,-164026.0,-11.82982228157786
128.2771859,,,,,,
128.27810085000002,-15977.0,-1.1522872629508094,108014.0,7.790145610588267,-164148.0,-11.838621120288506
128.2781832,,,,,,
128.28000475,,,,,,
128.28005397500002,-16097.0,-1.1609418584039044,107846.0,7.7780291769539325,-164014.0,-11.828956822032552
128.28200710000002,-15751.0,-1.1359877748474807,107367.0,7.743482916770329,-163694.0,-11.805877900824296
128.283911,,,,,,
128.28396022500002,-16234.0,-1.1708225215461876,106368.0,7.671433409623313,-163612.0,-11.799963927264686
128.284,,,,,,
128.2849984,,,,,,
128.28591335000002,-16217.0,-1.1695964538569992,106463.0,7.678284964357014,-163092.0,-11.762460680301272
128.2859957,,,,,,
128.28781725,,,,,,
128.28786647500002,-16156.0,-1.165197034501676,106996.0,7.71672579249451,-162946.0,-11.751930922500003
128.28981960000002,-15765.0,-1.1369974776503418,107705.0,7.767860027296548,-163849.0,-11.817056753284543
128.2917235,,,,,,
128.29177272500002,-16179.0,-1.1668558319635192,108358.0,7.814955450887138,-163389.0,-11.783880804047682
128.2928109,,,,,,
128.29372585000002,-16411.0,-1.1835880498395026,108196.0,7.803271747025459,-163622.0,-11.80068514355244
128.2938082,,,,,,
128.29562975,,,,,,
128.29567897500002,-16460.0,-1.1871220096495163,107715.0,7.768581243584306,-163456.0,-11.78871295317566
128.29763210000002,-16024.0,-1.1556769795032715,107781.0,7.773341271083508,-163728.0,-11.808330036202676
128.299536,,,,,,
128.29958522500002,-15982.0,-1.1526478710946884,107849.0,7.778245541840259,-163469.0,-11.789650534349745
128.3006234,,,,,,
128.30153835000002,-16484.0,-1.1888529287401353,107654.0,7.764181824228981,-163749.0,-11.809844590406964
128.3016207,,,,,,
128.30344225,,,,,,
128.30349147500002,-16409.0,-1.183443806581951,107763.0,7.772043081765543,-163332.0,-11.779769871207463
128.304,,,,,,
128.30544460000002,-16282.0,-1.1742843597274255,107758.0,7.771682473621664,-163575.0,-11.797295426999982
128.3073485,,,,,,
128.30739772500002,-16447.0,-1.1861844284754308,107798.0,7.774567338772695,-163567.0,-11.796718453969774
128.3084359,,,,,,
128.30935085000002,-16404.0,-1.183083198438072,107804.0,7.77500006854535,-163413.0,-11.7856117231383
128.3094332,,,,,,
128.31125475,,,,,,
128.31130397500002,-16602.0,-1.197363280935679,107881.0,7.780553433961086,-163301.0,-11.777534100715414
128.31325710000002,-16439.0,-1.1856074554452247,107603.0,7.760503621161416,-163044.0,-11.758998842120034
128.315161,,,,,,
128.31521022500002,-16652.0,-1.2009693623744682,107053.0,7.720836725334731,-163366.0,-11.78222200658584
128.3162484,,,,,,
128.31716335000002,-16673.0,-1.2024839165787595,106967.0,7.714634265260012,-163659.0,-11.803353643817143
128.3172457,,,,,,
128.31906725,,,,,,
128.31911647500002,-16781.0,-1.2102730524865453,106851.0,7.706268156322021,-163387.0,-11.783736560790132
128.32106960000002,-17003.0,-1.2262840540747708,106901.0,7.709874237760811,-163589.0,-11.79830512980284
128.3229735,,,,,,
128.32302272500002,-17069.0,-1.2310440815739727,106733.0,7.6977578041264785,-163209.0,-11.77089891086804
128.324,,,,,,
128.3240609,,,,,,
128.32497585000002,-16740.0,-1.207316065706738,107006.0,7.717447008782269,-163564.0,-11.796502089083445
128.3250582,,,,,,
128.32687975,,,,,,
128.32692897500002,-16332.0,-1.1778904411662152,107491.0,7.752425998738527,-163746.0,-11.809628225520642
128.32888210000002,-16973.0,-1.2241204052114971,107128.0,7.726245847492915,-163399.0,-11.78460202033544
128.330786,,,,,,
128.33083522500002,-17206.0,-1.2409247447162564,107141.0,7.727183428667,-163251.0,-11.773928019276626
128.3318734,,,,,,
128.33278835000002,-16966.0,-1.2236155538100666,107322.0,7.740237443475418,-163276.0,-11.775731059996016
128.3328707,,,,,,
128.33469225,,,,,,
128.33474147500002,-17161.0,-1.2376792714213458,107207.0,7.731943456166202,-163361.0,-11.78186139844196
128.33669460000002,-17449.0,-1.2584503005087735,106683.0,7.694151722687689,-163342.0,-11.78049108749522
128.3385985,,,,,,
128.33864772500002,-17245.0,-1.2437374882385122,106943.0,7.712903346169393,-163431.0,-11.786909912456265
128.3396859,,,,,,
128.34060085000002,-17302.0,-1.2478484210787322,106883.0,7.708576048442848,-163379.0,-11.783159587759926
128.3406832,,,,,,
128.34250475,,,,,,
128.34255397500002,-17539.0,-1.2649412470985946,106769.0,7.700354182762408,-163281.0,-11.776091668139896
128.344,,,,,,
128.34450710000002,-17786.0,-1.2827552894062153,107032.0,7.719322171130439,-163155.0,-11.767004342914149
128.346411,,,,,,
128.34646022500002,-17295.0,-1.2473435696773016,107253.0,7.73526105108989,-162916.0,-11.749767273636731
128.3474984,,,,,,
128.34841335000002,-16704.0,-1.2047196870708092,107548.0,7.756536931578747,-163456.0,-11.78871295317566
128.3484957,,,,,,
128.35031725,,,,,,
128.35036647500002,-16617.0,-1.1984451053673155,107747.0,7.770889135705129,-163319.0,-11.778832290033376
128.35231960000002,-16872.0,-1.216836120705142,107668.0,7.765191527031843,-163114.0,-11.76404735613434
128.3542235,,,,,,
128.35427272500002,-17057.0,-1.2301786220286637,107821.0,7.776226136234538,-163349.0,-11.780995938896652
128.3553109,,,,,,
128.35622585000002,-16862.0,-1.2161149044173842,107867.0,7.779543731158224,-163030.0,-11.757989139317171
128.3563082,,,,,,
128.35812975,,,,,,
128.35817897500002,-17001.0,-1.2261398108172192,107164.0,7.728842226128845,-163389.0,-11.783880804047682
128.36013210000002,-17092.0,-1.232702879035816,106359.0,7.670784314964333,-162916.0,-11.749767273636731
128.362036,,,,,,
128.36208522500002,-17018.0,-1.2273658785064077,106128.0,7.654124218717123,-163228.0,-11.77226922181478
128.3631234,,,,,,
128.364,,,,,,
128.36403835000002,-17418.0,-1.2562145300167242,105851.0,7.634146527546232,-162786.0,-11.74039146189588
128.3641207,,,,,,
128.36594225,,,,,,
128.36599147500002,-17679.0,-1.2750382751272054,106167.0,7.656936962239379,-162489.0,-11.718971338149467
128.36794460000002,-17399.0,-1.254844219069984,106449.0,7.677275261554153,-162707.0,-11.734693853222591
128.3698485,,,,,,
128.36989772500002,-17764.0,-1.2811686135731477,106487.0,7.680015883447633,-162512.0,-11.720630135611312
128.3709359,,,,,,
128.37185085000002,-18291.0,-1.3191767119379894,106144.0,7.655278164777537,-163007.0,-11.75633034185533
128.3719332,,,,,,
128.37375475,,,,,,
128.37380397500002,-18459.0,-1.3312931455723225,105568.0,7.613736106602682,-162640.0,-11.729861704094612
128.37575710000002,-18464.0,-1.3316537537162012,105972.0,7.642873244628101,-162686.0,-11.7331792990183
128.377661,,,,,,
128.37771022500002,-18152.0,-1.3091518055381544,106501.0,7.681025586250494,-162477.0,-11.71810587860416
128.3787484,,,,,,
128.37966335000002,-17174.0,-1.2386168525954313,107629.0,7.762378783509588,-162596.0,-11.726688352428482
128.3797457,,,,,,
128.38156725,,,,,,
128.38161647500002,-17262.0,-1.2449635559277006,107779.0,7.7731970278259555,-162107.0,-11.691420875957114
128.38356960000002,-16709.0,-1.2050802952146884,107473.0,7.751127809420563,-162487.0,-11.718827094891918
128.384,,,,,,
128.3854735,,,,,,
128.38552272500002,-16636.0,-1.1998154163140555,106338.0,7.66926976076004,-162406.0,-11.71298524296108
128.3865609,,,,,,
128.38747585000002,-17166.0,-1.2380398795652248,105736.0,7.625852540237014,-162629.0,-11.72906836617808
128.3875582,,,,,,
128.38937975,,,,,,
128.38942897500002,-16956.0,-1.2228943375223087,106039.0,7.647705393756079,-162725.0,-11.735992042540556
128.39138210000002,-16542.0,-1.1930359832091313,106239.0,7.662129719511237,-162948.0,-11.752075165757551
128.393286,,,,,,
128.39333522500002,-16646.0,-1.2005366326018134,106030.0,7.647056299097097,-162946.0,-11.751930922500003
128.3943734,,,,,,
128.39528835000002,-16883.0,-1.2176294586216758,106110.0,7.65282602939916,-162864.0,-11.746016948940392
128.3953707,,,,,,
128.39719225,,,,,,
128.39724147500002,-17274.0,-1.24582901547301,106244.0,7.662490327655116,-162489.0,-11.718971338149467
128.39919460000002,-17877.0,-1.289318357624812,105914.0,7.6386901901591076,-162497.0,-11.719548311179675
128.4010985,,,,,,
128.40114772500002,-18032.0,-1.3004972100850596,105970.0,7.64272900137055,-162324.0,-11.707071269401464
128.4021859,,,,,,
128.40310085000002,-17841.0,-1.2867219789888835,105834.0,7.632920459857042,-162465.0,-11.71724041905885
128.4031832,,,,,,
128.404,,,,,,
128.40500475,,,,,,
128.40505397500002,-17297.0,-1.2474878129348532,105718.0,7.624554350919051,-162394.0,-11.712119783415767
128.40700710000002,-17686.0,-1.275543126528636,105829.0,7.632559851713163,-162572.0,-11.72495743333786
128.408911,,,,,,
128.40896022500002,-17310.0,-1.2484253941089385,106181.0,7.657946665042242,-162781.0,-11.740030853752
128.4099984,,,,,,
128.41091335000002,-16108.0,-1.161735196320438,107196.0,7.731150118249669,-162810.0,-11.742122380986498
128.4109957,,,,,,
128.41281725,,,,,,
128.41286647500002,-15361.0,-1.1078603396249225,107661.0,7.764686675630413,-162502.0,-11.719908919323554
128.41481960000002,-15201.0,-1.096320879020796,107350.0,7.742256849081139,-162861.0,-11.745800584054065
128.4167235,,,,,,
128.41677272500002,-15288.0,-1.1025954607242896,107274.0,7.736775605294179,-162984.0,-11.754671544393489
128.4178109,,,,,,
128.41872585000002,-15525.0,-1.1196882867441522,107072.0,7.72220703628147,-163271.0,-11.775370451852137
128.4188082,,,,,,
128.42062975,,,,,,
128.42067897500002,-15473.0,-1.1159379620478107,107223.0,7.733097402226615,-163187.0,-11.769312235034974
128.42263210000002,-15427.0,-1.1126203671241246,106930.0,7.711965764995309,-163328.0,-11.77948138469236
128.424,,,,,,
128.424536,,,,,,
128.42458522500002,-15387.0,-1.1097355019730928,106983.0,7.715788211320427,-163570.0,-11.796934818856098
128.4256234,,,,,,
128.42653835000002,-15596.0,-1.1248089223872333,106728.0,7.697397195982599,-163144.0,-11.766211004997611
128.4266207,,,,,,
128.42844225,,,,,,
128.42849147500002,-15828.0,-1.1415411402632163,106255.0,7.663283665571649,-162779.0,-11.739886610494446
128.43044460000002,-15979.0,-1.1524315062083608,105776.0,7.628737405388048,-162131.0,-11.693151795047736
128.4323485,,,,,,
128.43239772500002,-16076.0,-1.1594273041996128,105629.0,7.618135525958003,-162332.0,-11.707648242431668
128.4334359,,,,,,
128.43435085000002,-16512.0,-1.1908723343458576,105726.0,7.625131323949257,-162211.0,-11.6989215253498
128.4344332,,,,,,
128.43625475,,,,,,
128.43630397500002,-16673.0,-1.2024839165787595,105525.0,7.610634876565322,-162469.0,-11.717528905573952
128.43825710000002,-16827.0,-1.2135906474102316,105517.0,7.610057903535117,-162347.0,-11.708730066863303
128.440161,,,,,,
128.44021022500002,-16886.0,-1.2178458235080032,105508.0,7.609408808876134,-162709.0,-11.734838096480145
128.4412484,,,,,,
128.44216335000002,-16716.0,-1.2055851466161187,105894.0,7.63724775758359,-162831.0,-11.743636935190787
128.4422457,,,,,,
128.444,,,,,,
128.44406725,,,,,,
128.44411647500002,-16902.0,-1.2189997695684158,105922.0,7.639267163189312,-162329.0,-11.707431877545345
128.44606960000002,-17301.0,-1.2477762994499564,105987.0,7.6439550690597375,-162108.0,-11.691492997585891
128.4479735,,,,,,
128.44802272500002,-17637.0,-1.2720091667186222,106139.0,7.654917556633658,-162170.0,-11.695964538569992
128.4490609,,,,,,
128.44997585000002,-18006.0,-1.2986220477368893,105893.0,7.637175635954814,-161683.0,-11.660841305356186
128.4500582,,,,,,
128.45187975,,,,,,
128.45192897500002,-18061.0,-1.3025887373195577,105287.0,7.593469928916685,-162164.0,-11.695531808797336
128.45388210000002,-18082.0,-1.3041032915238493,104951.0,7.569237061648019,-161898.0,-11.676347455542974
128.455786,,,,,,
128.45583522500002,-18301.0,-1.3198979282257473,105172.0,7.585175941607471,-161971.0,-11.68161233444361
128.4568734,,,,,,
128.45778835000002,-18469.0,-1.3320143618600802,105371.0,7.599528145733851,-161976.0,-11.681972942587487
128.4578707,,,,,,
128.45969225,,,,,,
128.45974147500002,-18807.0,-1.356391472386297,105451.0,7.605297876035913,-161879.0,-11.674977144596234
128.4603626,,,,,,
128.46169460000002,-19228.0,-1.3867546781009052,105374.0,7.5997445106201775,-161526.0,-11.649518209638384
128.4635985,,,,,,
128.46364772500002,-19396.0,-1.398871111735238,105462.0,7.606091213952448,-161699.0,-11.661995251416595
128.464,,,,,,
128.4646859,,,,,,
128.46560085000002,-19417.0,-1.4003856659395295,105263.0,7.5917390098260675,-161556.0,-11.651681858501654
128.4656832,,,,,,
128.46750475,,,,,,
128.46755397500002,-18767.0,-1.3535066072352655,105186.0,7.586185644410331,-162036.0,-11.686300240314036
128.46950710000002,-18664.0,-1.3460780794713594,104753.0,7.554956979150413,-161792.0,-11.668702562892744
128.471411,,,,,,
128.47146022500002,-18845.0,-1.359132094279777,104436.0,7.532094422828487,-161757.0,-11.666178305885593
128.4724984,,,,,,
128.47341335000002,-19211.0,-1.3855286104117168,104421.0,7.531012598396851,-161539.0,-11.650455790812464
128.4734957,,,,,,
128.47531725,,,,,,
128.47536647500002,-19205.0,-1.385095880639062,103838.0,7.488965688820564,-161681.0,-11.660697062098633
128.47731960000002,-19631.0,-1.415819694497549,104300.0,7.522285881314979,-161556.0,-11.651681858501654
128.4792235,,,,,,
128.47927272500002,-19089.0,-1.3767297717010705,105693.0,7.622751310199656,-161773.0,-11.667332251946004
128.4803109,,,,,,
128.48122585000002,-18945.0,-1.3663442571573563,106547.0,7.684343181174181,-161183.0,-11.624780490968284
128.4813082,,,,,,
128.48312975,,,,,,
128.48317897500002,-18121.0,-1.3069160350461049,107371.0,7.743771403285433,-161661.0,-11.659254629523115
128.484,,,,,,
128.48513210000002,-18172.0,-1.3105942381136702,107675.0,7.765696378433273,-161760.0,-11.666394670771918
128.487036,,,,,,
128.48708522500002,-18276.0,-1.3180948875063525,106666.0,7.692925654998499,-161707.0,-11.662572224446802
128.4881234,,,,,,
128.48903835000002,-18530.0,-1.336413781215403,106379.0,7.672226747539848,-161276.0,-11.631487802444436
128.4891207,,,,,,
128.49094225,,,,,,
128.49099147500002,-18342.0,-1.3228549150055546,106502.0,7.681097707879272,-161472.0,-11.645623641684493
128.49294460000002,-18781.0,-1.3545163100381268,106516.0,7.682107410682131,-161710.0,-11.662788589333127
128.4948485,,,,,,
128.49489772500002,-18996.0,-1.3700224602249218,106648.0,7.691627465680536,-161110.0,-11.619515612067651
128.4959359,,,,,,
128.49685085000002,-18955.0,-1.3670654734451144,106369.0,7.671505531252089,-161478.0,-11.646056371457146
128.4969332,,,,,,
128.49875475,,,,,,
128.49880397500002,-19451.0,-1.4028378013179066,105997.0,7.644676285347496,-161633.0,-11.657235223917391
128.50075710000002,-19597.0,-1.413367559119172,105596.0,7.615755512208403,-161392.0,-11.639853911382428
128.502661,,,,,,
128.50271022500002,-19701.0,-1.4208682085118542,105499.0,7.608759714217152,-161261.0,-11.6304059780128
