Timestamp,ECG LL-RA RAW,ECG LL-RA CAL,ECG LA-RA RAW,ECG LA-RA CAL,ECG Vx-RL RAW,ECG Vx-RL CAL
0.0,,,,,,
0.0,,,,,,
0.0,,,,,,
0.001795575,-24527.0,-1.7689271889838207,64413.0,4.645570474335012,-46887.0,-3.381566808410503
0.0037486999999999998,-24524.0,-1.7687108240974934,64421.0,4.646147447365219,-46897.0,-3.3822880246982607
0.005701825000000001,-24557.0,-1.7710908378470944,64317.0,4.6386467979725365,-46667.0,-3.3657000500798286
0.0057435,,,,,,
0.0067405,,,,,,
0.007071399999999999,,,,,,
0.007654950000000001,-24698.0,-1.781259987504481,64294.0,4.6369880005106925,-46879.0,-3.3809898353802965
0.009608074999999999,-24722.0,-1.7829909065951002,64268.0,4.635112838162523,-46786.0,-3.374282523904148
0.011561199999999999,-24660.0,-1.7785193656110008,64293.0,4.636915878881918,-47031.0,-3.391952322954217
0.013514324999999999,-24832.0,-1.7909242857604368,64184.0,4.629054621345356,-47054.0,-3.39361112041606
0.013555999999999999,,,,,,
0.014553,,,,,,
0.015467449999999999,-24923.0,-1.797487353979034,64182.0,4.628910378087804,-46715.0,-3.3691618882610666
0.017420575,-24890.0,-1.7951073402294326,64153.0,4.626818850853305,-46860.0,-3.3796195244335565
0.0193737,-24878.0,-1.7942418806841232,64181.0,4.628838256459028,-47106.0,-3.397361445112401
0.021326825,-24956.0,-1.799867367728635,64143.0,4.626097634565548,-46724.0,-3.3698109829200487
0.021368500000000002,,,,,,
0.0223655,,,,,,
0.02327995,-24933.0,-1.7982085702667918,64164.0,4.62761218876984,-46949.0,-3.386038349394602
0.025233075,-25010.0,-1.803761935682528,64124.0,4.624727323618808,-47006.0,-3.390149282234822
0.0271862,-25007.0,-1.8035455707962005,64091.0,4.622347309869207,-46939.0,-3.385317133106844
0.029139325,-25013.0,-1.803978300568855,64053.0,4.619606687975727,-46737.0,-3.370748564094133
0.029181000000000002,,,,,,
0.0299203,,,,,,
0.0299203,,,,,,
0.030178,,,,,,
0.03109245,-25031.0,-1.8052764898868192,64039.0,4.618596985172865,-46827.0,-3.3772395106839554
0.033045575,-25109.0,-1.8109019769313308,63995.0,4.615423633506731,-46991.0,-3.389067457803185
0.0349987,-25111.0,-1.8110462201888824,63951.0,4.612250281840597,-46944.0,-3.385677741250723
0.036951825,-25127.0,-1.812200166249296,64030.0,4.617947890513884,-47067.0,-3.394548701590145
0.0369935,,,,,,
0.037990499999999996,,,,,,
0.03890495,-25161.0,-1.814652301627672,64061.0,4.6201836610059335,-46955.0,-3.3864710791672565
0.040858075,-25186.0,-1.8164553423470668,64044.0,4.618957593316745,-46961.0,-3.386903808939912
