Timestamp,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,GSR RAW.1,GSR Resistance CAL.1,GSR Conductance CAL.1
120.0141287,,,,,,
120.014428875,,,,,,
120.0145536,18454.0,141.172972972973,7.083508825669102,,,
120.0157165,,,,36210.0,247.32741438666423,4.043223443223443
120.016382,,,,,,
120.01803495,,,,,,
120.018335125,,,,,,
120.02028825,,,,,,
120.0219412,,,,,,
120.022241375,,,,,,
120.0223661,18453.0,141.27479264334656,7.078403594083037,,,
120.023529,,,,36211.0,247.2378192356457,4.0446886446886445
120.0241945,,,,,,
120.02584745,,,,,,
120.026147625,,,,,,
120.028,,,,,,
120.02810075,,,,,,
120.0297537,,,,,,
120.030053875,,,,,,
120.0301786,18454.0,141.172972972973,7.083508825669102,,,
120.0313415,,,,36210.0,247.32741438666423,4.043223443223443
120.032007,,,,,,
120.03365995,,,,,,
120.033960125,,,,,,
120.03591325,,,,,,
120.0375662,,,,,,
120.037866375,,,,,,
120.0379911,18455.0,141.07129996398996,7.088614057255169,,,
120.039154,,,,36210.0,247.32741438666423,4.043223443223443
120.0398195,,,,,,
120.04147245,,,,,,
120.041772625,,,,,,
120.04372575,,,,,,
120.0453787,,,,,,
120.045678875,,,,,,
120.0458036,18455.0,141.07129996398996,7.088614057255169,,,
120.0469665,,,,36209.0,247.41707449700925,4.041758241758242
120.047632,,,,,,
120.048,,,,,,
120.04928495,,,,,,
120.049585125,,,,,,
120.05153825,,,,,,
120.0531912,,,,,,
120.053491375,,,,,,
120.0536161,18453.0,141.27479264334656,7.078403594083037,,,
120.054779,,,,36212.0,247.148288973384,4.046153846153846
120.0554445,,,,,,
120.05709745,,,,,,
120.057397625,,,,,,
120.05935075,,,,,,
120.0610037,,,,,,
120.061303875,,,,,,
120.0614286,18454.0,141.172972972973,7.083508825669102,,,
120.0625915,,,,36210.0,247.32741438666423,4.043223443223443
120.063257,,,,,,
120.06490995,,,,,,
120.065210125,,,,,,
120.06716325,,,,,,
120.068,,,,,,
120.0688162,,,,,,
120.069116375,,,,,,
120.0692411,18454.0,141.172972972973,7.083508825669102,,,
120.070404,,,,36210.0,247.32741438666423,4.043223443223443
120.0710695,,,,,,
120.07272245,,,,,,
120.073022625,,,,,,
120.07497575,,,,,,
120.0766287,,,,,,
120.076928875,,,,,,
120.0770536,18453.0,141.27479264334656,7.078403594083037,,,
120.0782165,,,,36210.0,247.32741438666423,4.043223443223443
120.078882,,,,,,
120.08053495,,,,,,
120.080835125,,,,,,
120.08278825,,,,,,
120.0844412,,,,,,
120.084741375,,,,,,
120.0848661,18453.0,141.27479264334656,7.078403594083037,,,
120.086029,,,,36211.0,247.2378192356457,4.0446886446886445
120.0866945,,,,,,
120.088,,,,,,
120.08834745,,,,,,
120.088647625,,,,,,
120.09060075,,,,,,
120.0922537,,,,,,
120.092553875,,,,,,
120.0926786,18453.0,141.27479264334656,7.078403594083037,,,
120.0938415,,,,36209.0,247.41707449700925,4.041758241758242
120.094507,,,,,,
120.09615995,,,,,,
120.096460125,,,,,,
120.09841325,,,,,,
120.1000662,,,,,,
120.100366375,,,,,,
120.1004911,18454.0,141.172972972973,7.083508825669102,,,
120.101654,,,,36209.0,247.41707449700925,4.041758241758242
120.1023195,,,,,,
120.10397245,,,,,,
120.104272625,,,,,,
120.10622575,,,,,,
120.1078787,,,,,,
120.108,,,,,,
120.108178875,,,,,,
120.1083036,18453.0,141.27479264334656,7.078403594083037,,,
120.1094665,,,,36209.0,247.41707449700925,4.041758241758242
120.110132,,,,,,
120.11178495,,,,,,
120.112085125,,,,,,
120.11403825,,,,,,
120.1156912,,,,,,
120.115991375,,,,,,
120.1161161,18453.0,141.27479264334656,7.078403594083037,,,
120.117279,,,,36211.0,247.2378192356457,4.0446886446886445
120.1179445,,,,,,
120.11959745,,,,,,
120.119897625,,,,,,
120.12185075,,,,,,
120.1235037,,,,,,
120.123803875,,,,,,
120.1239286,18454.0,141.172972972973,7.083508825669102,,,
120.1250915,,,,36210.0,247.32741438666423,4.043223443223443
120.125757,,,,,,
120.12740995,,,,,,
120.127710125,,,,,,
120.128,,,,,,
120.12966325,,,,,,
120.1313162,,,,,,
120.131616375,,,,,,
120.1317411,18455.0,141.07129996398996,7.088614057255169,,,
120.132904,,,,36209.0,247.41707449700925,4.041758241758242
120.1335695,,,,,,
120.13522245,,,,,,
120.135522625,,,,,,
120.13747575,,,,,,
120.1391287,,,,,,
120.139428875,,,,,,
120.1395536,18453.0,141.27479264334656,7.078403594083037,,,
120.1407165,,,,36209.0,247.41707449700925,4.041758241758242
120.141382,,,,,,
120.14303495,,,,,,
120.143335125,,,,,,
120.14528825,,,,,,
120.1469412,,,,,,
120.147241375,,,,,,
120.1473661,18453.0,141.27479264334656,7.078403594083037,,,
120.148,,,,,,
120.148529,,,,36210.0,247.32741438666423,4.043223443223443
120.1491945,,,,,,
120.15084745,,,,,,
120.151147625,,,,,,
120.15310075,,,,,,
120.1547537,,,,,,
120.155053875,,,,,,
120.1551786,18453.0,141.27479264334656,7.078403594083037,,,
120.1563415,,,,36209.0,247.41707449700925,4.041758241758242
120.157007,,,,,,
120.15865995,,,,,,
120.158960125,,,,,,
120.16091325,,,,,,
120.1625662,,,,,,
120.162866375,,,,,,
120.1629911,18453.0,141.27479264334656,7.078403594083037,,,
120.164154,,,,36209.0,247.41707449700925,4.041758241758242
120.1648195,,,,,,
120.16647245,,,,,,
120.166772625,,,,,,
120.168,,,,,,
120.16872575,,,,,,
120.1703787,,,,,,
120.170678875,,,,,,
120.1708036,18453.0,141.27479264334656,7.078403594083037,,,
120.1719665,,,,36209.0,247.41707449700925,4.041758241758242
120.172632,,,,,,
120.17428495,,,,,,
120.174585125,,,,,,
120.17653825,,,,,,
120.1781912,,,,,,
120.178491375,,,,,,
120.1786161,18453.0,141.27479264334656,7.078403594083037,,,
120.179779,,,,36210.0,247.32741438666423,4.043223443223443
120.1804445,,,,,,
120.18209745,,,,,,
120.182397625,,,,,,
120.18435075,,,,,,
120.1860037,,,,,,
120.186303875,,,,,,
120.1864286,18453.0,141.27479264334656,7.078403594083037,,,
120.1875915,,,,36208.0,247.50679963735277,4.040293040293039
120.188,,,,,,
120.188257,,,,,,
120.18990995,,,,,,
120.190210125,,,,,,
120.19216325,,,,,,
120.1938162,,,,,,
120.194116375,,,,,,
120.1942411,18454.0,141.172972972973,7.083508825669102,,,
120.195404,,,,36208.0,247.50679963735277,4.040293040293039
120.1960695,,,,,,
120.19772245,,,,,,
120.198022625,,,,,,
120.19997575,,,,,,
120.2016287,,,,,,
120.201928875,,,,,,
120.2020536,18454.0,141.172972972973,7.083508825669102,,,
120.2032165,,,,36208.0,247.50679963735277,4.040293040293039
120.203882,,,,,,
120.20553495,,,,,,
120.205835125,,,,,,
120.20778825,,,,,,
120.208,,,,,,
120.2094412,,,,,,
120.209741375,,,,,,
120.2098661,18454.0,141.172972972973,7.083508825669102,,,
120.211029,,,,36210.0,247.32741438666423,4.043223443223443
120.2116945,,,,,,
120.21334745,,,,,,
120.213647625,,,,,,
120.21560075,,,,,,
120.2172537,,,,,,
120.217553875,,,,,,
120.2176786,18453.0,141.27479264334656,7.078403594083037,,,
120.2188415,,,,36208.0,247.50679963735277,4.040293040293039
120.219507,,,,,,
120.22115995,,,,,,
120.221460125,,,,,,
120.22341325,,,,,,
120.2250662,,,,,,
120.225366375,,,,,,
120.2254911,18454.0,141.172972972973,7.083508825669102,,,
120.226654,,,,36208.0,247.50679963735277,4.040293040293039
120.2273195,,,,,,
120.228,,,,,,
120.22897245,,,,,,
120.229272625,,,,,,
120.23122575,,,,,,
120.2328787,,,,,,
120.233178875,,,,,,
120.2333036,18454.0,141.172972972973,7.083508825669102,,,
120.2344665,,,,36209.0,247.41707449700925,4.041758241758242
120.235132,,,,,,
120.23678495,,,,,,
120.237085125,,,,,,
120.23903825,,,,,,
120.2406912,,,,,,
120.240991375,,,,,,
120.2411161,18453.0,141.27479264334656,7.078403594083037,,,
120.242279,,,,36210.0,247.32741438666423,4.043223443223443
120.2429445,,,,,,
120.24459745,,,,,,
120.244897625,,,,,,
120.24685075,,,,,,
120.248,,,,,,
120.2485037,,,,,,
120.248803875,,,,,,
120.2489286,18453.0,141.27479264334656,7.078403594083037,,,
120.2500915,,,,36208.0,247.50679963735277,4.040293040293039
120.250757,,,,,,
120.25240995,,,,,,
120.252710125,,,,,,
120.25466325,,,,,,
120.2563162,,,,,,
120.256616375,,,,,,
120.2567411,18453.0,141.27479264334656,7.078403594083037,,,
120.257904,,,,36208.0,247.50679963735277,4.040293040293039
120.2585695,,,,,,
120.26022245,,,,,,
120.260522625,,,,,,
120.26247575,,,,,,
120.2641287,,,,,,
120.264428875,,,,,,
120.2645536,18453.0,141.27479264334656,7.078403594083037,,,
120.2657165,,,,36208.0,247.50679963735277,4.040293040293039
120.266382,,,,,,
120.268,,,,,,
120.26803495,,,,,,
120.268335125,,,,,,
120.27028825,,,,,,
120.2719412,,,,,,
120.272241375,,,,,,
